,operator_address,name,current_stake,foundation_stake,stake_score,uptime_score,jailed_score,gov_score,community_score,eco_score,commission,distr_before_comm_adj,new_distribution,new_foundation_stake,redeleg
74,regenvaloper1ceunjpth8nds7sfmfd9yjmh97vxmwqfyf7r2cn,Simply Staking,5963699.598917,0.0,-1.0,0.9970660146699275,1,0.75,0.9,0,0.1,0.004032484929760584,0.0029039038464520614,72597.59616130154,72597.59616130154
73,regenvaloper1v5hrqlv8dqgzvy0pwzqzg0gxy899rm4kgjrtdq,DokiaCapital,5328009.200801,0.0,-0.7554238282393675,0.9958435207824015,1,0.25,0.5,0,0.05,0.0024446077963539477,0.0035208592748890454,88021.48187222614,88021.48187222614
72,regenvaloper15urq2dtp9qce4fyc85m6upwm9xul3049l7gjdc,Chorus One,4239066.312239,0.0,-0.5369178368118352,0.9919315403422992,1,0.75,0.8,0,0.075,0.0073046061518357375,0.007013665029747164,175341.6257436791,175341.6257436791
71,regenvaloper1zppjyal5emta5cquje8ndkpz0rs046m7zqxrpp,Tavis Digital,3703578.920365,0.0,-0.36307027905169065,0.9064792176039108,1,1.0,0.5,0,0.05,0.007431541780859993,0.01070331725395428,267582.931348857,267582.931348857
70,regenvaloper1h5z08rzvrwt3pzdjc03upvuh2x0j3yskldyqvj,Witval,3208256.640461,189420.0,-0.2111834948278941,0.9056234718826376,1,1.0,1.0,0,0.049,0.01134294990240868,0.01667014636235435,416753.6590588588,227333.65905885882
69,regenvaloper1y4dagnwxsza5tm45m3te3rpkfe74ceqvv56hs0,P2P.ORG - P2P Validator,2925503.725076,211399.0,-0.08737854851088644,0.9925427872860595,1,0.375,1.0,0,0.1,0.010982784017805846,0.007909006309901365,197725.15774753413,-13673.842252465867
68,regenvaloper1tdc350ylkjfvqk4mjs6rqqksgl2wfghz2fx95h,LOA Labs,2847547.068097186,280838.0,0.023929094070084478,0.9603911980440019,1,0.75,1.0,0,0.075,0.0128407347229721,0.012329290616186912,308232.2654046728,27394.265404672828
67,regenvaloper1y4rzzrgl66eyhzt6gse2k7ej3zgwmngeleucjy,swidnikk,2533050.798701,188364.0,0.12919192085842746,0.9987775061124684,1,0.875,1.0,0,0.07,0.01428513828027427,0.014695889833882843,367397.24584707106,179033.24584707106
66,regenvaloper1ypwzuhaffvr06ktu0ne6lnm69gxj32qww0relw,KalpaTech,2512435.206649,261931.0,0.22534943377341776,0.9800733496332528,1,0.625,1.0,0,0.1,0.014242510873847664,0.010256425710227538,256410.64275568843,-5520.35724431157
65,regenvaloper174tvh2dty7vsvwn2cfsmkwq8tplqgr5f3m3nw8,Regenerator,2496081.419725,858446.0,0.3188450150604213,0.9996332518337416,1,1.0,0.3,1,0.05,0.01427795515491387,0.02056390023324208,514097.5058310521,-344348.4941689479
64,regenvaloper1ldgt9pky839sr925jnrqr4kxzh5h3yhlth3jz0,qwoyn,2462827.7560740765,183049.0,0.4111400232619354,0.99841075794621,1,1.0,1.0,0,0.075,0.016985227588249302,0.016308709091463116,407717.7272865779,224668.72728657792
63,regenvaloper1snn4uhxh04gzpgk4l8naw3n6fu7ucwx37w320z,Chainflow,2432018.0423225123,265273.0,0.5,0.9933985330073383,1,0.375,1.0,0,0.08,0.015846993175383454,0.014264822199666523,356620.5549916631,91347.55499166308
62,regenvaloper1kl83t6gm2y5lgg5c5h3sz87tt5fg3cmyl2sksd,Cephalopod Equipment,2217262.783755,328314.0,0.53819110061607,0.7381418092909591,1,0.875,1.0,0,0.0811,0.016282747818758433,0.01445826969380431,361456.7423451078,33142.74234510778
61,regenvaloper14kn0kk33szpwus9nh8n87fjel8djx0y0c7xhe5,Forbole,2144123.26624,219971.0,0.5749609734003491,0.9590464547677193,1,0.625,0.9,0,0.095,0.016491310149383046,0.012500892863302325,312522.3215825581,92551.3215825581
60,regenvaloper1hp6rhq5mcqdz6qjpde4dz89q7qd5czwn44maq9,Akik Takat,1959966.7522160637,290243.8128812296,0.6103096183528351,0.9986552567237175,1,0.25,0.5,0,0.1,0.013758914689731597,0.009908174732568569,247704.36831421423,-42539.444567015395
59,regenvaloper163g6kygmh08mgp0kj4gkenl4hj6nsqzgmd9w86,StakeService,1947745.296385116,819956.0,0.6442370354735298,0.9987775061124684,1,0.25,0.9,0,0.05,0.016167725548626968,0.02328565201200967,582141.3003002418,-237814.6996997582
58,regenvaloper1uccl5ugxrm7vqlzwqr04pjd320d2fz0z3hc6vm,ixo,1893203.4070960372,106553.0,0.6767432247624319,0.0,1,0.375,0.8,0,0.05,0.01096199382065838,0.015788069428685284,394701.73571713205,288148.73571713205
57,regenvaloper10yhlcvh88sux4zmf67udhg5f5z2803z6wujgj9,blockscape,1445723.078784,418499.0,0.7078281862195426,0.9589242053789795,1,1.0,0.3,0,0.0999,0.01550679150717735,0.011178047183256132,279451.1795814033,-139047.82041859668
56,regenvaloper1ss2f0nl7sn42x8x0d337mj9welzml8h0f5erue,Cosmostation,1425115.253804,0.0,0.7374919198448606,0.9996332518337416,1,0.8571428571428571,0.9,0,0.1,0.018737810114964476,0.013493614933401444,337340.3733350361,337340.3733350361
55,regenvaloper1p3vzy48erskut3z36wgkquthplvyq7h6mvdlwa,WeStaking,1423610.914919,601583.0,0.7657344256383869,0.8733496332518401,1,0.875,0.3,0,0.09,0.015161383785290816,0.012131257210304454,303281.4302576113,-298301.5697423887
